Transaction ID,Date,Product ID,Product Name,Product Category,Quantity,PPU,Amount,Customer ID,Region
T000045,07-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,40,"350,000","14,000,000",Customer-889,Mandalay
T000046,07-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,49,"120,000","5,880,000",Customer-349,Naypyitaw
T000047,07-01-2025,PROD-005,Noise-Cancelling Headphones,Electronics,13,"950,000","12,350,000",Customer-313,Mandalay
T000048,07-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,49,"120,000","5,880,000",Customer-607,Yangon
T000049,07-01-2025,PROD-010,Webcam 1080p HD,Electronics,35,"200,000","7,000,000",Customer-387,Yangon
T000050,07-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,210,"120,000","25,200,000",Customer-725,Yangon
T000051,07-01-2025,PROD-007,USB-C Docking Station,Electronics,39,"250,000","9,750,000",Customer-912,Yangon
T000052,07-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,14,"25,000","350,000",Customer-040,Yangon
T000053,07-01-2025,PROD-004,Standing Desk Converter,Furniture,400,"500,000","200,000,000",Customer-051,Bago
T000054,08-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,250,"180,000","45,000,000",Customer-663,Bago
T000055,08-01-2025,PROD-004,Standing Desk Converter,Furniture,400,"500,000","200,000,000",Customer-499,Yangon
T000056,08-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,34,"180,000","6,120,000",Customer-109,Bago
T000057,08-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,31,"180,000","5,580,000",Customer-803,Taunggyi
T000058,08-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,42,"350,000","14,700,000",Customer-572,Yangon
T000059,08-01-2025,PROD-003,27-inch 4K Monitor,Electronics,50,"1,200,000","60,000,000",Customer-575,Naypyitaw
T000060,08-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,39,"350,000","13,650,000",Customer-446,Yangon
T000061,08-01-2025,PROD-005,Noise-Cancelling Headphones,Electronics,34,"950,000","32,300,000",Customer-083,Naypyitaw
T000062,08-01-2025,PROD-005,Noise-Cancelling Headphones,Electronics,34,"950,000","32,300,000",Customer-543,Naypyitaw
T000063,08-01-2025,PROD-007,USB-C Docking Station,Electronics,19,"250,000","4,750,000",Customer-052,Taunggyi
T000064,08-01-2025,PROD-007,USB-C Docking Station,Electronics,380,"250,000","95,000,000",Customer-241,Yangon
T000065,08-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,5,"120,000","600,000",Customer-669,Mandalay
T000066,08-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,270,"350,000","94,500,000",Customer-888,Bago
T000067,09-01-2025,PROD-005,Noise-Cancelling Headphones,Electronics,21,"950,000","19,950,000",Customer-807,Naypyitaw
T000068,09-01-2025,PROD-003,27-inch 4K Monitor,Electronics,38,"1,200,000","45,600,000",Customer-680,Naypyitaw
T000069,09-01-2025,PROD-003,27-inch 4K Monitor,Electronics,450,"1,200,000","540,000,000",Customer-180,Mandalay
T000070,09-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,21,"350,000","7,350,000",Customer-886,Mandalay
T000071,09-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,44,"180,000","7,920,000",Customer-042,Yangon
T000072,09-01-2025,PROD-003,27-inch 4K Monitor,Electronics,9,"1,200,000","10,800,000",Customer-352,Mandalay
T000073,09-01-2025,PROD-004,Standing Desk Converter,Furniture,47,"500,000","23,500,000",Customer-632,Yangon
T000074,09-01-2025,PROD-010,Webcam 1080p HD,Electronics,6,"200,000","1,200,000",Customer-980,Naypyitaw
T000075,09-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,37,"180,000","6,660,000",Customer-618,Bago
T000076,09-01-2025,PROD-005,Noise-Cancelling Headphones,Electronics,8,"950,000","7,600,000",Customer-020,Yangon
T000077,09-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,280,"120,000","33,600,000",Customer-180,Mandalay
T000078,09-01-2025,PROD-010,Webcam 1080p HD,Electronics,13,"200,000","2,600,000",Customer-072,Mandalay
T000079,10-01-2025,PROD-003,27-inch 4K Monitor,Electronics,5,"1,200,000","6,000,000",Customer-324,Yangon
T000080,10-01-2025,PROD-010,Webcam 1080p HD,Electronics,47,"200,000","9,400,000",Customer-198,Naypyitaw
T000081,10-01-2025,PROD-007,USB-C Docking Station,Electronics,44,"250,000","11,000,000",Customer-951,Bago
T000082,10-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,36,"120,000","4,320,000",Customer-455,Yangon
T000083,10-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,11,"350,000","3,850,000",Customer-209,Yangon
T000084,10-01-2025,PROD-001,Ergonomic Mesh Chair,Furniture,24,"450,000","10,800,000",Customer-102,Mandalay
T000085,10-01-2025,PROD-003,27-inch 4K Monitor,Electronics,45,"1,200,000","54,000,000",Customer-389,Taunggyi
T000086,10-01-2025,PROD-005,Noise-Cancelling Headphones,Electronics,5,"950,000","4,750,000",Customer-632,Yangon
T000087,10-01-2025,PROD-001,Ergonomic Mesh Chair,Furniture,29,"450,000","13,050,000",Customer-450,Yangon
T000088,10-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,27,"120,000","3,240,000",Customer-091,Yangon
T000089,10-01-2025,PROD-007,USB-C Docking Station,Electronics,26,"250,000","6,500,000",Customer-369,Naypyitaw
T000090,10-01-2025,PROD-010,Webcam 1080p HD,Electronics,46,"200,000","9,200,000",Customer-403,Yangon
T000091,10-01-2025,PROD-004,Standing Desk Converter,Furniture,29,"500,000","14,500,000",Customer-539,Bago
T000092,10-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,6,"120,000","720,000",Customer-762,Bago
T000093,15-01-2025,PROD-004,Standing Desk Converter,Furniture,39,"500,000","19,500,000",Customer-289,Bago
T000094,15-01-2025,PROD-007,USB-C Docking Station,Electronics,28,"250,000","7,000,000",Customer-210,Mandalay
T000095,15-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,48,"180,000","8,640,000",Customer-279,Yangon
T000096,15-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,6,"350,000","2,100,000",Customer-879,Mandalay
T000097,15-01-2025,PROD-004,Standing Desk Converter,Furniture,36,"500,000","18,000,000",Customer-225,Bago
T000098,15-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,32,"350,000","11,200,000",Customer-368,Yangon
T000099,15-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,21,"180,000","3,780,000",Customer-606,Yangon
T000100,15-01-2025,PROD-001,Ergonomic Mesh Chair,Furniture,37,"450,000","16,650,000",Customer-709,Yangon
T000101,15-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,44,"350,000","15,400,000",Customer-970,Mandalay
T000102,15-01-2025,PROD-007,USB-C Docking Station,Electronics,47,"250,000","11,750,000",Customer-835,Mandalay
T000103,16-01-2025,PROD-003,27-inch 4K Monitor,Electronics,5,"1,200,000","6,000,000",Customer-955,Naypyitaw
T000104,16-01-2025,PROD-004,Standing Desk Converter,Furniture,26,"500,000","13,000,000",Customer-690,Bago
T000105,16-01-2025,PROD-004,Standing Desk Converter,Furniture,29,"500,000","14,500,000",Customer-279,Yangon
T000106,16-01-2025,PROD-010,Webcam 1080p HD,Electronics,42,"200,000","8,400,000",Customer-188,Yangon
T000107,16-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,32,"350,000","11,200,000",Customer-332,Naypyitaw
T000108,16-01-2025,PROD-007,USB-C Docking Station,Electronics,27,"250,000","6,750,000",Customer-042,Yangon
T000109,16-01-2025,PROD-007,USB-C Docking Station,Electronics,37,"250,000","9,250,000",Customer-880,Bago
T000110,16-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,30,"180,000","5,400,000",Customer-402,Bago
T000111,16-01-2025,PROD-004,Standing Desk Converter,Furniture,35,"500,000","17,500,000",Customer-025,Bago
T000112,16-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,16,"120,000","1,920,000",Customer-795,Bago
T000113,16-01-2025,PROD-001,Ergonomic Mesh Chair,Furniture,160,"450,000","72,000,000",Customer-321,Mandalay
T000114,17-01-2025,PROD-004,Standing Desk Converter,Furniture,16,"500,000","8,000,000",Customer-151,Mandalay
T000115,17-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,26,"25,000","650,000",Customer-482,Mandalay
T000116,17-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,47,"350,000","16,450,000",Customer-430,Taunggyi
T000117,17-01-2025,PROD-007,USB-C Docking Station,Electronics,12,"250,000","3,000,000",Customer-769,Yangon
T000118,17-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,47,"350,000","16,450,000",Customer-336,Naypyitaw
T000119,17-01-2025,PROD-007,USB-C Docking Station,Electronics,12,"250,000","3,000,000",Customer-099,Taunggyi
T000120,17-01-2025,PROD-001,Ergonomic Mesh Chair,Furniture,40,"450,000","18,000,000",Customer-556,Mandalay
T000121,20-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,48,"120,000","5,760,000",Customer-099,Taunggyi
T000122,20-01-2025,PROD-010,Webcam 1080p HD,Electronics,24,"200,000","4,800,000",Customer-926,Naypyitaw
T000123,20-01-2025,PROD-007,USB-C Docking Station,Electronics,10,"250,000","2,500,000",Customer-671,Naypyitaw
T000124,20-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,13,"180,000","2,340,000",Customer-140,Mandalay
T000125,20-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,30,"350,000","10,500,000",Customer-919,Mandalay
T000126,20-01-2025,PROD-001,Ergonomic Mesh Chair,Furniture,45,"450,000","20,250,000",Customer-331,Mandalay
T000127,20-01-2025,PROD-004,Standing Desk Converter,Furniture,41,"500,000","20,500,000",Customer-163,Yangon
T000128,20-01-2025,PROD-004,Standing Desk Converter,Furniture,44,"500,000","22,000,000",Customer-476,Yangon
T000129,20-01-2025,PROD-007,USB-C Docking Station,Electronics,8,"250,000","2,000,000",Customer-302,Taunggyi
T000130,20-01-2025,PROD-005,Noise-Cancelling Headphones,Electronics,25,"950,000","23,750,000",Customer-716,Naypyitaw
T000131,20-01-2025,PROD-005,Noise-Cancelling Headphones,Electronics,33,"950,000","31,350,000",Customer-778,Mandalay
T000132,20-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,12,"120,000","1,440,000",Customer-446,Yangon
T000133,20-01-2025,PROD-004,Standing Desk Converter,Furniture,27,"500,000","13,500,000",Customer-640,Bago
T000134,20-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,46,"350,000","16,100,000",Customer-325,Yangon
T000135,20-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,26,"180,000","4,680,000",Customer-949,Bago
T000136,21-01-2025,PROD-007,USB-C Docking Station,Electronics,50,"250,000","12,500,000",Customer-308,Naypyitaw
T000137,21-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,23,"180,000","4,140,000",Customer-812,Mandalay
T000138,21-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,10,"25,000","250,000",Customer-295,Mandalay
T000139,21-01-2025,PROD-010,Webcam 1080p HD,Electronics,49,"200,000","9,800,000",Customer-694,Mandalay
T000140,21-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,37,"180,000","6,660,000",Customer-808,Naypyitaw
T000141,21-01-2025,PROD-001,Ergonomic Mesh Chair,Furniture,30,"450,000","13,500,000",Customer-946,Taunggyi
T000142,21-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,42,"25,000","1,050,000",Customer-336,Naypyitaw
T000143,21-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,36,"350,000","12,600,000",Customer-173,Mandalay
T000144,21-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,31,"25,000","775,000",Customer-771,Bago
T000145,21-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,100,"25,000","2,500,000",Customer-499,Yangon
T000146,21-01-2025,PROD-001,Ergonomic Mesh Chair,Furniture,47,"450,000","21,150,000",Customer-129,Taunggyi
T000147,21-01-2025,PROD-001,Ergonomic Mesh Chair,Furniture,49,"450,000","22,050,000",Customer-823,Bago
T000148,22-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,31,"120,000","3,720,000",Customer-756,Mandalay
T000149,22-01-2025,PROD-010,Webcam 1080p HD,Electronics,110,"200,000","22,000,000",Customer-148,Naypyitaw
T000150,22-01-2025,PROD-010,Webcam 1080p HD,Electronics,47,"200,000","9,400,000",Customer-912,Yangon
T000151,22-01-2025,PROD-007,USB-C Docking Station,Electronics,21,"250,000","5,250,000",Customer-490,Naypyitaw
T000152,22-01-2025,PROD-003,27-inch 4K Monitor,Electronics,39,"1,200,000","46,800,000",Customer-535,Yangon
T000153,23-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,28,"350,000","9,800,000",Customer-402,Bago
T000154,23-01-2025,PROD-001,Ergonomic Mesh Chair,Furniture,420,"450,000","189,000,000",Customer-078,Yangon
T000155,23-01-2025,PROD-007,USB-C Docking Station,Electronics,10,"250,000","2,500,000",Customer-837,Naypyitaw
T000156,23-01-2025,PROD-007,USB-C Docking Station,Electronics,12,"250,000","3,000,000",Customer-141,Mandalay
T000157,23-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,20,"350,000","7,000,000",Customer-458,Taunggyi
T000158,23-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,23,"120,000","2,760,000",Customer-873,Naypyitaw
T000159,23-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,8,"180,000","1,440,000",Customer-624,Mandalay
T000160,23-01-2025,PROD-003,27-inch 4K Monitor,Electronics,80,"1,200,000","96,000,000",Customer-410,Yangon
T000161,23-01-2025,PROD-004,Standing Desk Converter,Furniture,42,"500,000","21,000,000",Customer-262,Naypyitaw
T000162,23-01-2025,PROD-001,Ergonomic Mesh Chair,Furniture,7,"450,000","3,150,000",Customer-756,Mandalay
T000163,28-01-2025,PROD-005,Noise-Cancelling Headphones,Electronics,8,"950,000","7,600,000",Customer-961,Mandalay
T000164,28-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,26,"25,000","650,000",Customer-173,Mandalay
T000165,28-01-2025,PROD-010,Webcam 1080p HD,Electronics,18,"200,000","3,600,000",Customer-970,Mandalay
T000166,28-01-2025,PROD-005,Noise-Cancelling Headphones,Electronics,21,"950,000","19,950,000",Customer-041,Mandalay
T000167,28-01-2025,PROD-001,Ergonomic Mesh Chair,Furniture,41,"450,000","18,450,000",Customer-050,Mandalay
T000168,28-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,6,"120,000","720,000",Customer-182,Taunggyi
T000169,28-01-2025,PROD-005,Noise-Cancelling Headphones,Electronics,36,"950,000","34,200,000",Customer-913,Yangon
T000170,28-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,47,"350,000","16,450,000",Customer-326,Mandalay
T000171,28-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,43,"25,000","1,075,000",Customer-232,Yangon
T000172,28-01-2025,PROD-005,Noise-Cancelling Headphones,Electronics,10,"950,000","9,500,000",Customer-028,Bago
T000173,28-01-2025,PROD-001,Ergonomic Mesh Chair,Furniture,44,"450,000","19,800,000",Customer-849,Yangon
T000174,28-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,11,"180,000","1,980,000",Customer-063,Naypyitaw
T000175,30-01-2025,PROD-007,USB-C Docking Station,Electronics,17,"250,000","4,250,000",Customer-085,Yangon
T000176,30-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,27,"25,000","675,000",Customer-559,Naypyitaw
T000177,30-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,43,"350,000","15,050,000",Customer-422,Taunggyi
T000178,30-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,46,"25,000","1,150,000",Customer-588,Mandalay
T000179,30-01-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,46,"25,000","1,150,000",Customer-035,Bago
T000180,30-01-2025,PROD-005,Noise-Cancelling Headphones,Electronics,37,"950,000","35,150,000",Customer-171,Bago
T000181,30-01-2025,PROD-001,Ergonomic Mesh Chair,Furniture,41,"450,000","18,450,000",Customer-393,Bago
T000182,30-01-2025,PROD-001,Ergonomic Mesh Chair,Furniture,25,"450,000","11,250,000",Customer-881,Mandalay
T000183,30-01-2025,PROD-004,Standing Desk Converter,Furniture,470,"500,000","235,000,000",Customer-246,Yangon
T000184,30-01-2025,PROD-001,Ergonomic Mesh Chair,Furniture,31,"450,000","13,950,000",Customer-756,Mandalay
T000185,30-01-2025,PROD-005,Noise-Cancelling Headphones,Electronics,5,"950,000","4,750,000",Customer-197,Yangon
T000186,30-01-2025,PROD-010,Webcam 1080p HD,Electronics,13,"200,000","2,600,000",Customer-130,Taunggyi
T000187,30-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,42,"350,000","14,700,000",Customer-897,Taunggyi
T000188,05-02-2025,PROD-003,27-inch 4K Monitor,Electronics,12,"1,200,000","14,400,000",Customer-654,Mandalay
T000189,05-02-2025,PROD-004,Standing Desk Converter,Furniture,7,"500,000","3,500,000",Customer-196,Naypyitaw
T000190,05-02-2025,PROD-009,Adjustable Monitor Arm,Furniture,47,"180,000","8,460,000",Customer-714,Naypyitaw
T000191,05-02-2025,PROD-003,27-inch 4K Monitor,Electronics,22,"1,200,000","26,400,000",Customer-825,Yangon
T000192,05-02-2025,PROD-007,USB-C Docking Station,Electronics,45,"250,000","11,250,000",Customer-409,Yangon
T000193,05-02-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,45,"120,000","5,400,000",Customer-820,Taunggyi
T000194,05-02-2025,PROD-005,Noise-Cancelling Headphones,Electronics,26,"950,000","24,700,000",Customer-653,Yangon
T000195,05-02-2025,PROD-001,Ergonomic Mesh Chair,Furniture,5,"450,000","2,250,000",Customer-789,Yangon
T000196,05-02-2025,PROD-009,Adjustable Monitor Arm,Furniture,9,"180,000","1,620,000",Customer-949,Bago
T000197,05-02-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,11,"120,000","1,320,000",Customer-839,Mandalay
T000198,05-02-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,19,"120,000","2,280,000",Customer-102,Mandalay
T000199,05-02-2025,PROD-003,27-inch 4K Monitor,Electronics,21,"1,200,000","25,200,000",Customer-742,Naypyitaw
T000200,05-02-2025,PROD-005,Noise-Cancelling Headphones,Electronics,25,"950,000","23,750,000",Customer-113,Yangon
T000201,05-02-2025,PROD-005,Noise-Cancelling Headphones,Electronics,25,"950,000","23,750,000",Customer-902,Mandalay
T000202,05-02-2025,PROD-003,27-inch 4K Monitor,Electronics,16,"1,200,000","19,200,000",Customer-013,Yangon
T000203,06-02-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,42,"120,000","5,040,000",Customer-853,Bago
T000204,06-02-2025,PROD-003,27-inch 4K Monitor,Electronics,32,"1,200,000","38,400,000",Customer-214,Yangon
T000205,06-02-2025,PROD-004,Standing Desk Converter,Furniture,80,"500,000","40,000,000",Customer-969,Mandalay
T000206,06-02-2025,PROD-005,Noise-Cancelling Headphones,Electronics,380,"950,000","361,000,000",Customer-806,Naypyitaw
T000207,06-02-2025,PROD-009,Adjustable Monitor Arm,Furniture,25,"180,000","4,500,000",Customer-068,Taunggyi
T000208,06-02-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,19,"350,000","6,650,000",Customer-905,Mandalay
T000209,06-02-2025,PROD-009,Adjustable Monitor Arm,Furniture,31,"180,000","5,580,000",Customer-574,Naypyitaw
T000210,06-02-2025,PROD-004,Standing Desk Converter,Furniture,35,"500,000","17,500,000",Customer-274,Mandalay
T000211,06-02-2025,PROD-001,Ergonomic Mesh Chair,Furniture,23,"450,000","10,350,000",Customer-789,Yangon
T000212,06-02-2025,PROD-004,Standing Desk Converter,Furniture,15,"500,000","7,500,000",Customer-356,Bago
T000213,06-02-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,8,"350,000","2,800,000",Customer-540,Naypyitaw
T000214,06-02-2025,PROD-005,Noise-Cancelling Headphones,Electronics,220,"950,000","209,000,000",Customer-495,Mandalay
T000215,06-02-2025,PROD-001,Ergonomic Mesh Chair,Furniture,40,"450,000","18,000,000",Customer-626,Mandalay
T000216,06-02-2025,PROD-010,Webcam 1080p HD,Electronics,470,"200,000","94,000,000",Customer-193,Yangon
T000217,06-02-2025,PROD-010,Webcam 1080p HD,Electronics,40,"200,000","8,000,000",Customer-320,Naypyitaw
T000218,06-02-2025,PROD-004,Standing Desk Converter,Furniture,270,"500,000","135,000,000",Customer-180,Mandalay
T000219,06-02-2025,PROD-004,Standing Desk Converter,Furniture,38,"500,000","19,000,000",Customer-785,Yangon
T000220,06-02-2025,PROD-009,Adjustable Monitor Arm,Furniture,33,"180,000","5,940,000",Customer-112,Taunggyi
T000221,10-02-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,20,"120,000","2,400,000",Customer-885,Mandalay
T000222,10-02-2025,PROD-001,Ergonomic Mesh Chair,Furniture,36,"450,000","16,200,000",Customer-990,Yangon
T000223,10-02-2025,PROD-010,Webcam 1080p HD,Electronics,25,"200,000","5,000,000",Customer-191,Naypyitaw
T000224,10-02-2025,PROD-005,Noise-Cancelling Headphones,Electronics,210,"950,000","199,500,000",Customer-620,Yangon
T000225,10-02-2025,PROD-004,Standing Desk Converter,Furniture,44,"500,000","22,000,000",Customer-334,Yangon
T000226,10-02-2025,PROD-009,Adjustable Monitor Arm,Furniture,230,"180,000","41,400,000",Customer-148,Naypyitaw
T000227,10-02-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,26,"25,000","650,000",Customer-685,Taunggyi
T000228,10-02-2025,PROD-009,Adjustable Monitor Arm,Furniture,26,"180,000","4,680,000",Customer-867,Naypyitaw
T000229,10-02-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,47,"25,000","1,175,000",Customer-033,Mandalay
T000230,10-02-2025,PROD-010,Webcam 1080p HD,Electronics,26,"200,000","5,200,000",Customer-714,Naypyitaw
